Q1	Massage oil Where I can buy good oil for massage?
Q1178_C4	RE: How can I ensure that the car is not morgaged? well well & well :) very simple take the car to traffic dept. for owenership change  they will not transfer it if its morgaged !!!
Q1179	Any evening nursery? Does anybody know any evening nursery? I have a baby 4 moth old and very much in need of childcare just for one evening, 10th november, next monday. Dont want to use nanny since I dont know any of them and it is scary to leave baby with a stranger. Please help!
Q1179_C1	Don't understand what's the difference between leaving the baby with a nanny who is a stranger or a nursery with a bunch of strangers?      Find a friend with a live-in maid that might "lend" you the maid for the evening.  At least then you would get a trusted reference.
Q1179_C2	There are no such 'evenin There are no such 'evenin nursery' in Doha that i know off.   Most nursery close in the afternoon, i think the latest is Busy Bees at 3pm (I might be wrong, you can check it out to clarify).
Q1179_C3	.... Dont u have any close friends that you could entrust your baby? bcos i havent heard of any "evening nursery" b4. even in our country. since most parents come home at night and thats the only time they could spend the time with their children. or at least go to some regular "daycare centers" maybe some of them can make special arrangements for you. try it.  LIVIN THE LIFE
Q1179_C4	if you contact starfish if you contact starfish lanes nursery, alot of their teacher assistant available for baby sitting service after school hours.
Q1180	.. Love .. Hello QLers .. A thought ..  '' Love dies only when groth stops '' Pearl S Buck.
Q1180_C1	absolutely. absolutely.
Q1181	Visit visa My family just go back home she cam here on family visit visa 6 months. After how many months I can apply visit visa again for my family???
Q1181_C1	RE: Visit visa Thank you for information.
Q1182	Projector Which Brand Projector is good How much cost Where available. Can projector can adjust to any screen size Will thank for good answer
Q1182_C1	RE: Projector LP is right 2000 lumens or more is enough for personal use.  You can get any brand it depends on the specs, quality it depends on how use it or take care of it.   I believed the lowest cost in the market is 1900 which is LG, I recommend you purchase a bit high end projector which is 3D ready.   Try to Google it for more idea and reference.
Q1183	any ideas where the suzuki motorbike showroom is? im looking for the suzuki motorbike showroom here in doha. any ideas where it is?  thanks.
Q1183_C1	RE: any ideas where the suzuki motorbike showroom is? Suzuki Motorcycle, Airport road Doha-Qatar.  Tel no. +974 4620 943
Q1183_C2	RE: any ideas where the suzuki motorbike showroom is? Suzuki bike showroom is near QATAR AIRWAYS building or jst near Family food centre or opp.Airport. ok dear frnd?
Q1184	where i can apply to work in airport i just want to ask where is the office for applying to work in airport...because my experience is aircraft mechanic and loading bridge operator....for 10 years in philippines...and im here in doha., my visa is only a business visa good for 3 months....please help me to tell or contact number the office of all applicant who is willing to work in airport...is there any open job in airport..???
Q1184_C1	RE: where i can apply to work in airport check qatar airways website.
Q1184_C2	RE: where i can apply to work in airport YOU CAN GO TO QATAR AIRWAYS - HR DEPT NEXT TO AIRPORT.
Q1184_C3	RE: where i can apply to work in airport Big chance to be shortlisted if you have a friend, working there, that would recommend you.
Q1185	has it rained in your area today? there are lots of FB posts that there are areas in Qatar which experienced rain today.   in my place, there were few raindrops and now the sun shines brightly again..  i hope later in the afternoon the rain will fall hard and the winter will start.
Q1185_C1	RE: has it rained in your area today? here in Corniche, as of this moment, not yet...
Q1185_C2	RE: has it rained in your area today? In industrial area, we had a small rain in morning..
Q1185_C3	RE: has it rained in your area today? yes there was a heavy rain in mesaeed yesterday and even today.
Q1185_C4	RE: has it rained in your area today? Yes.. With thunder n lightning!! Lovely weather here now!
Q1185_C5	RE: has it rained in your area today? Nope!
Q1185_C6	RE: has it rained in your area today? yup it rained here in Althumama
Q1185_C7	RE: has it rained in your area today? we had in misaymeer
Q1185_C8	RE: has it rained in your area today? yes   In wakra between 10.30 am to 11.00 am. heavy rain with thunder and litning.
Q1186	Fight me for QR - 1000 You get to beat me as much as you want. It's a one hour act.You get the blood and I get the money.Pay me 1000 Qatari Riyals and beat me as much as you want. I won't pass out and I won't sue you.I'am willing to enter into a contract to this effect.I will put up a tooken fight but will end up getting beaten.All this for 1000 QR only.
Q1186_C1	Wowwww!!!! What a thread FU thanks for the info ------------------------------------------------------ There are good people in this world, and they are not ONLY Muslims, you know. Geez.(last comments by alexa when she left Qiving)
Q1187	where i can buy some nice sweets arrangement? Where I can buy some nice arrangement of sweets/candies, something with the Christmas theme or so to bring it to the friends house. Do they have this kind of things in the Royal Plaza or in Lulu Centre? if not, WHERE? thanks
Q1187_C1	RE: where i can buy some nice sweets arrangement? try opera cafe in land mark .. have seen few nice things there
Q1187_C2	RE: where i can buy some nice sweets arrangement? try eedible arrangements, although im not quite sure if their shop is in salwa road.
Q1187_C3	RE: where i can buy some nice sweets arrangement? yea Operah in Al sadd. i like their sweets
Q1187_C4	RE: where i can buy some nice sweets arrangement? try MASSIS outlets...
Q1187_C5	RE: where i can buy some nice sweets arrangement? opera in the mall..and another store in the mall (forgot the name)..  happy holidays..
Q1187_C6	RE: where i can buy some nice sweets arrangement? bought some from opera last night., good enough, try to have a mix of different kinds, happy christmas!
Q1187_C7	RE: where i can buy some nice sweets arrangement? Yes you can try edible arrangements. They are open for delivery and for pick up, this is their complete address if you want to drop by   Qatar- Salwa Rd, Midmac Roundabout Shop Number 24 West Corner Center Qatar Phone: 4911111 Fax: 4911113   Independently owned and operated. Bullet Store Hours Sat - Thu: 10:00 AM - 8:00 PM Saturday: Closed - Closed Fri: 3:00 PM - 8:00 PM   Thanks! :-)
Q1188	can i come back to doha if i cancel my work here? Dear Friends in qatarliving...  I didnt like to work to my sponsor anymore... we talk and we talk but in the end he told me he never give me release papers... i been working on this company for 1 and 5 months already..   can anybody tell me if i can come back here in doha if i cancel my self to my work? without any release papers..  thank you... hoping you can help me...
Q1188_C1	RE: can i come back to doha if i cancel my work here? let me answer you more accurately.  yes, you can always come back to Qatar. provided you are not banned from entering Qatar. if you have not committed any crimes or violate any rules here, sure you will not be banned from entering Qatar.  no, you will not be able to work with any employer, since you are not given a NOC from your present sponsor. you will be banned from working Qatar for 2 years (if i remember, correctly).
Q1189	Lava Lamp please can anyone tell me where can i buy a Lava lamp here in doha?  answers will be very much appreciated...   thanks in advance..
Q1189_C1	RE: Lava Lamp ok nevermind ive misread the your whole message...*stupid me...thanks again
Q1189_C2	RE: Lava Lamp I have seen some in carrefour city centre
Q1189_C3	RE: Lava Lamp i bought one for my son in city centre,havent been since opened back up, but there was a toy stall next to tobacco stall wot had them right outside carrefour x
Q1190	pizza express!!!! what a disappointment some time back i had asked about the best pizza in town and some ppl had recommended pizza express. well tonight we actually and tried it and found it to be grossly overpriced and definitely not its money worth. the pizza was okay but the calzone i ordered was stone cold from the inside. very disappointing ?! am i the only one or have others experienced bad service there too?
Q1190_C1	yeah i know. yeah i know.
Q1191	Bristish/American school near to DOha Zoo Iam living in AL-Azizya behind Doha Zoo , can any body guide which is the nearest and good American / British school near to my home land. I would like to admit my son in reception he is going to complete his 3 year in next month.  Thanks in advance   maraza
Q1191_C1	Did u try the Zoo? Did u try the Zoo?
Q1191_C2	ASD, Doha College are both ASD, Doha College are both near and good.  But these schools often have long waiting lists (unless you have wasata).
Q1191_C3	i think zoo is Dear Aafi;  i think zoo is full of your children , so now House is Full.
Q1191_C4	Newton British School next to Newton British School next to Villagio.
Q1191_C5	The best school is The The best school is The American School of Doha, and i know this because i go there.
Q1191_C6	http://www.asd.edu.qa/ http://www.asd.edu.qa/
Q1191_C7	try loydenca academy Small school in it's first year, minutes from zoo and hyatt plaza. My children go there and are happy.
Q1191_C8	Stay away from DBS (doha Stay away from DBS (doha British School) the old DMBS (Doha Montessori and British School). They are just deceiving!
Q1192	Tennis Partners Looking our for Tennis partners ,preferably to  play weekly twice or thrice.Iam an average player.Anyone interested please let me know .
Q1192_C1	Hi there, anyone who wants to Hi there, anyone who wants to join with us with Ittihadaleppo to play in his compound just let us know so we can play doubles.
Q1192_C2	well, it seems many players well, it seems many players are interested to play now. so i need to set up a tune up fun game in ittihadaleppo's place so everybody can meet. any suggestion of time and day ?
Q1192_C3	tennis coach hi am tennis coach for national team mini tennis in khalifa stadium u welocme if any one want to get lesson good price is 100qr for court and 100 for coach u welcome tnx
Q1192_C4	I am avaialble on thursday I am avaialble on thursday evening and friday. i am also not a pro. i stopped playing 25 years ago. I am 43 now. but still want to play so as to reduce my weight and get some exercise.
Q1192_C5	hi radical we just met and hi radical we just met and play already its nice playing with you and you are a good player. see you tomorrow for alkhor fun games.
Q1192_C6	HEY Lots been going on my back here Alvin ;)  i would like to practice with a good tennis player, and i have the court.  Contact me if interested for both single and double.
Q1192_C7	see you tonight samer. i will see you tonight samer. i will try to be in your place at 7pm coz i will teach first in another compound till 6:15pm hope no traffic tonight :-)
Q1192_C8	Let's Practice Take your time. Mark will be there also ;)  See you tonight
Q1192_C9	I am interested in playing I am interested in playing tennis I am an average player contact me 77775370 ... cheers
Q1192_C10	wish to play tennis can i get wish to play tennis can i get apartner
Q1192_C11	tennis May i know which compound you are playing! Im into tennis and i categorized myself as below average player, but i can be a steady opponent, just returning ball with a slow pace.
Q1192_C12	so you need a partner for so you need a partner for playing or for tournament? i dont have the item.but im eager to learn. :)
Q1192_C13	I am an average player too... I am an average player too... but do you have any courts for free??? if so I can join with you mate
Q1192_C14	hi if ok for someone who wants to learn let me know
Q1192_C15	A tennis court is available A tennis court is available in my compund but I'm not pro
Q1192_C16	im no pro player but im im no pro player but im interested to join.
Q1192_C17	me too!! no pro, interested me too!! no pro, interested to join! anyone willing to arrange this once a week at least?
Q1192_C18	i think it would be fuN! i think it would be fuN!
Q1193	How Much Time Does It Take To Issue A Visit Visa? I Have Applied For A Visit Visa For A Month, Which can Be Renewed For 5 More Months, How Much Time Does It Take To Issue A Visa, As I Have Fulfilled The Requirements.  Noc From My Employer At Qatar Airways Birth Certificate Passport Copies Of The Applicant My Resident Permit Copy.
Q1193_C1	RE: How Much Time Does It Take To Issue A Visit Visa? The Salary Is About 21370 Qr.
Q1193_C2	RE: How Much Time Does It Take To Issue A Visit Visa? My Salary Is About 21370 Qr. Is It Enough.
Q1193_C3	RE: How Much Time Does It Take To Issue A Visit Visa? It takes max a weeks times not more than that, if ur lucky within 2 days.  Regards
Q1193_C4	RE: How Much Time Does It Take To Issue A Visit Visa? Your salary is morethan enough to get visit visa and you can check in the net within 24 hrs. www.moi.gov.qa just enter the application number and date, print the visa and use it.
Q1193_C5	RE: How Much Time Does It Take To Issue A Visit Visa? Hi,the visa for my parents in law was issued 4 hours after the application! it was very fast. good luck!
Q1193_C6	RE: How Much Time Does It Take To Issue A Visit Visa? you can get it in 2 to 3 days
Q1193_C7	RE: How Much Time Does It Take To Issue A Visit Visa? Usually it takes a day and half for the visa processing. If you have submitted all the documents to the immigration office you must have a visa application number. You should visit MOI website and enter the visa application number in the visa tracking system you will get the result of your application.
Q1193_C8	RE: How Much Time Does It Take To Issue A Visit Visa? You can wait up to 3 days from the applied date
Q1194	HMC Promotions and Recruitment Does anyone know when does the promotions and recruitment start in HMC? Is it true that there is no money to give the employees promotion ? Is it true that many staff thinks HMC is becoming a less desirable place to work ?
Q1194_C1	Scorpio78 your tag line "Give the worker his dues, his rights, before his sweat dries" by the Prophet Muhammed (PBUH) should be pasted in all the management offices at HMC.   Any sector in HMC which would be left behind would somehow impact on the overall performance. I hope this will be ironed out soon for the benefit of all concerned. =) __________________________________________________ "No one is in charge of your happiness except you"
Q1194_C2	I absolutely refuse to I absolutely refuse to believe that this is done because of economical crisis. It is all because of the inexperienced and inefficient administration of HMC. Everyday there is some news of buying ultra expensive technology and equipments for HMC, however, they don't have money to pay their staff.     Also, they are constantly pressurising staff to perform better than their best. Well,all of us know the old saying. Pay peanuts and get monkeys to work. HMC will soon turn into a monkey show.      And no, nothing is going to change in March 2010. If there was a real problem, it could be solved. There is no end to fake problems.         Are you nuts?......no doubt I am crazy about you!
Q1194_C3	Is it true? Is it true that all promotions for expatriates are stopped for next 2 years as part of cost-cutting by the hospital? A friend of mine said that , thats the reason why they are giving 1  month bonus to deviate the people's attention from the worst thats yet to come!
Q1194_C4	never heard of that issue never heard of that issue medboy but hopefully not.as far as i know they keep on recruiting nurses and i dont know with other sectors in the hospital.lets wait for 2010 coz they still working this out and inshallah we will get the increment.its hard to hope and expect that far.lets just cross our fingers...
Q1195	Can someone tell me where is a good laser hair removal clinic in Doha? And what are the prices  approximately for half a leg and under arm ?
Q1195_C1	RE: Can someone tell me where is a good laser hair... <p>Try the Plastic Surgery Centre!</p>
Q1195_C2	RE: Can someone tell me where is a good laser hair... <p><strong>Al-Emadi Hospital</strong></p>
Q1195_C3	RE: Can someone tell me where is a good laser hair... LASER AND AESTHETIC SKIN CARE CLINIC, AL WAAB.... it is just behind the VLCC.. I've done laser there in lower legs and arms.. it is good..painless and fast.... next time i will book for there anti acne peel....  Contact # 44328834
Q1196	Is it worth buying Household Items in Qatar and take it to India I am constructing a House in India. Wondering whether I can buy house hold items like LCD,Split ACs,cooking range, furniture etc from Qatar and take it to India. If yes what are the suggested items to purchase here. Also any reliable Sea Cargo -door to door service available  Thanks in advance
Q1196_C1	RE: Is it worth buying Household Items in Qatar and take... A big no...U just waste money on shipping...And u get very good ones in India.
Q1196_C2	RE: Is it worth buying Household Items in Qatar and take... NOOOOOOOO.  only few items I found in Qatar which has good quality and cheap price compared to India are :- 1. Saffron 2. Gold (Price is almost same But quality is good )
Q1196_C3	RE: Is it worth buying Household Items in Qatar and take... Dude, it is not good idea to buy house hold items from here, since all the branded stuffs easily available in India with better price & warranty.
Q1196_C4	RE: Is it worth buying Household Items in Qatar and take... I did that mistake six years ago. Dealing with clearing agents at customs, and labourer union at customs yard was a nightmare I will never forget.They suck your blood to the last drop.
Q1196_C5	RE: Is it worth buying Household Items in Qatar and take... Not at all recommended - you get every households at your doorsteps.  You could carry some of the best chocolates etc. instead...which will be cheaper than duty free shops there.
Q1196_C6	RE: Is it worth buying Household Items in Qatar and take... Electronic items are subject to guarantee or warranty. What will you do if something goes wrong with the LCD TV, Slit AC, Washing Machine and Cooking Range? If your are buying them from India most of them are with 2-5 years warranty and some are with 1-2 years guarantee. Some brands are offering extended warranty by paying some extra money. If something goes wrong you can call the shop where you bought it and they will arrange with the Service Centre for the necessary action. I know that some products have International Warranty but it is not as easy as you are buying something locally in India. Further more you will have to spend a lot of money for cargo even if it is by sea.
Q1196_C7	RE: Is it worth buying Household Items in Qatar and take... Good Qaulity branded materials will get in India..these are made in China...
Q1197	nokia5800 secondary camera does anyone knows how to activate the secondary cam of nokia 5800???  please??? i cant get enough of it...
Q1197_C1	RTFM! RTFM! <a href="http://www.flickr.com/photos/b_2_d/3262305312/" title="Monotone MIA by baldrick2dogs, on Flickr"><img src="http://farm4.static.flickr.com/3389/3262305312_f781590578_m.jpg" width="240" height="97" alt="Monotone MIA" /></a>
Q1198	Authorised signature in computer card Mr."R" is an authorised signatory in a C.R. of company "A". He is not directly under the sponsorship of company-A BUT under another company sponsored by the same Qatari partner, who is also the sponsor for  company "A".  Can we add Mr.'R's signature in the computer card of company "A" and what's the procedure ?
Q1198_C1	RE: Authorised signature in computer card Yes, u can add Mr. R 's name in the computer card of A Co... It doesnt matter in whose sponsorship he is.. ! But he should have a valid permanant RP !!
Q1198_C2	RE: Authorised signature in computer card read my post. i was talking about Computer card.. not CR !!
Q1198_C3	RE: Authorised signature in computer card I am not sure about Rams comment, When i checked at some typing centers they the info i got was that you should be under same company sponsorship to have signatory in computer card. I know about another situation: If company "A" is a branch of a main company under same sponsor and same partners (where R is one of parter) and Mr.R's visa is under the main company, he can be signatory in company A.
Q1198_C4	RE: Authorised signature in computer card humzafar :  My name is there in one of the co's computer card even though i'm not under that co's sponsorship (I'm working in a govt co.) I'm not sure wether the law changed now.
Q1198_C5	RE: Authorised signature in computer card Thank you all for the info provided. It's now done and the info. is that if the sponsor for "R" is a company sponsored by the same Qatari partner, yes, his signature can be added in the comp. card.
Q1199	Where to find gyms for women ? Hiz!  I will be arriving to qatar shortly and i would like to know about any local gyms for women that are not too pricy...any suggestionz!!??  Dor
Q1199_C1	RE: Where to find gyms for women ? Sure! Aspire Active Women Fitness is best place for women Fitness..
Q1199_C2	RE: Where to find gyms for women ? Yeah Yeah , Aspire Fitness for Women also It's cheap and It's cost   150 QR per month.
Q1199_C3	RE: Where to find gyms for women ? Do you happen to know the Ladiez-hourz of Gold's Gym???
Q1200	Homeschooling Your Children in Qatar I moved to Doha from Vancouver, Canada about ten days ago to join my husband who works for a company. I didn't realize that Canadian and American schools would be so expensive here since my husbands job doesn't pay for our children's education. My children are 7 and 8 years old and I am thinking about homeschooling them. I will really appreciate your ideas if you have any experiences or observations in this area.
Q1200_C1	Thanks Umm-salayum Thanks a lot for your input.
Q1201	Russian people Does anyone know visa process for Russian people to come to Doha for a visit? Can visa be granted on arrival or do they have to go to the Qatari embassy? Anyone who ever dealt with it please help!!!
Q1201_C1	RE: Russian people On arrival visa is available for Professionals, and not applicable to Western nationalities, they can come on arrival. Pls make sure with Qatar Embassy in your country before leave. Anyway you can bring your spouse on tourist visa with simple procedure just attach your and your spouse passport copies and your valid ID card you will get visa for 14 days and can extend for another 14 days with Qr. 50/- only. This application should be submitted in Airport emigration office with a confirmation Qatar Airways to and fro ticket. Same day you will get visa online.  Regards,  Biju Abraham
Q1201_C2	RE: Russian people thank you all for your answers. I have been to ministry of interrior and they told me I need to apply for a tourist visa for them at the airport. At the airport they told me i can't do that anymore and sent me back. I know, welcome to Doha and all that. But there must be a way to bring your relatives in for a couple of weeks!!!
Q1201_C3	RE: Russian people Not for Russians...  you should seek a visa via Qatar Embassy.
Q1202	Regarding Multiple Exit Visa Hi everyone,  I have a multiple exit visa which is going to be expired may 2011, my concern is, last November, I just renewed my residence Visa in Qatar.. do I need to renew my multiple exit visa as well?  can anyone help me to answer my question please?  thanks Handy
Q1202_C1	ys Its valid for one year...
Q1202_C2	thanks ah.. ok i was just concerned.. that by having my residence visa renewed.. my multiple exit visa will be reset or sometin..  so i dont have to worry about that rite?  thanks from the prompt replies guys  cheers Handy
Q1202_C3	Handy - no it wont be Handy - no it wont be RESET...LOL....not a computer software mate...:-)  but yeah its valid till May 2011 as u have sd and will be renewed only once it expires....thats how it is in my company.....
Q1202_C4	LOL haha.. thanks tinky!  I guess im just being paranoid for my long planned vacation.. dont want anything to prevent that from happening hahaha..  happy Qatar National days guys  Handy
Q1202_C5	it's valid til expiration it's valid til expiration date regardless if you renew your rp or not :) they will not renew it til it expires.
Q1202_C6	thanks Plushed! Thanks Plushed!  now im 100% sure  Handy
Q1202_C7	hello Multi-Exit is not parallel to your RP's validity & vice versa.. both have its own expiry date. if your RP expires and you've left the country thinking that your MEP is still valid, you cannot come back, hence, if your MEP expires and your RP is still valid you cant leave..
Q1202_C8	pls removed... pls removed...
Q1203	Drinking milk after eating prawns Drinking milk after eating prawns is harmfull or just a myth. If harmfull whats the effect?
Q1203_C1	Its myth. Its myth.
Q1203_C2	NO No, that is just a myth. It is perfectly fine to drink milk after eating shrimp or any other kind of seafood.
Q1203_C3	Jack... If everything is linked to the stomach, then why do we eat Vindaloo ??
Q1203_C4	Hi jackmohan2007 <P>Hi I wish to have your mail id.</P> <P>I have some questions.thanks</P> <P>Mayr <A href="mailto:mayur2704@rediff.com">mayur2704@rediff.com</A> 66706863</P> <P>I have migrain and I wish to cure it by ayurvedic way if possible.thanks</P>
Q1203_C5	meat should be kept <P>milk &amp; meat should be kept far apart....never mix them or bring them together. If you mix milk &amp; meat it is not kosher.</P>
Q1203_C6	milk <p>milk and prawn never heard, but juice or vitamin c + prawn is dangerous.. never eat prawn if you are taking vitamin c.... and don't drink juices with vitamin c because it will poisoned you blood cells which will lead to death...</p>
Q1203_C7	Ditto!! <p>Ditto!!</p>
Q1203_C8	It is a myth. <p>Period.</p>
Q1203_C9	i heard eating pineapple and i heard eating pineapple and then drinking milk is dangerous..  it cuts the stomach IT SEAMS...
Q1203_C10	YES, FOOD POISONING - I also heard Fish + Milk should not go together FISH + CURD also  why dont u avoid it ?
Q1203_C11	don't like prawns at all..... don't like prawns at all.....
Q1203_C12	Reading QL and then eating is Reading QL and then eating is dangerous. You are likley to puke
Q1203_C13	very true jack and very very true jack and very informative...:-)
Q1203_C14	That way people drink cold water after eating meals... That way people drink cold water after eating meals... they dont die... its just abuse of the system...ts over the years that it affects the body's metabolism...  ...like if you dont sleep for 24 hrs you wont die ...and many people skip sleep ... it affects them later on.  Ayurveda treat the cause not the symptoms...Modern Medicine treats the symptom  eg: If you are having a headache.. Modern Medicine practitioners would give you a tablet to stop the ache... painkiller...  While Ayurveda Practitioners reach into your body to find the cause...all in a minute!  Jews I guess too avoid Milk with Meat.  its not complete nonsense... as Ayurveda used for treatment of a lot of disease... and Ayurveda Doctors scan your body in a minute (unlike time taking tests modern medicine) by holding your pulse at 3 points.  Snessy the info given to you was half true... food is related to digestion... nothing to do with patches ..maybe just to scare children...lol  a well trained stomach can even overcome very high levels of poison...like Rasputin did ... its also mentioned in the Indian History of Chanakya who used to train himself and his King to overcome poison by taking very tiny levels of poison... and increasing its dosage accordingly  Ayurveda considers the stomach as the route of all diseases...   More: http://en.wikipedia.org/wiki/Ayurveda
Q1203_C15	pinkyhr, do you like the <P>pinkyhr, do you like the preparation 'doi maachh' like i do..:)</P>
Q1203_C16	most of the people won't most of the people won't follow all these...me too..so i am awarded with high cholesterol and uric acid
Q1203_C17	Old wives tales.. Old wives tales..
Q1203_C18	I even cook fish along with I even cook fish along with yoghurt together in the recipe. Nothing ever happened.
Q1203_C19	Poppycock .............. My Mother would serve haddock cooked in milk!!! No ill effects there!!!  Got to agree with britexpat .......... old wives tales.
Q1203_C20	If you followed that you'd If you followed that you'd never eat a Goan fish curry again - stuff and nonsense.
Q1203_C21	i heard that cooked yogurt i heard that cooked yogurt doesnot cause any harm ..if u cook fish with yogust while cooking.. bt if u eat yogurt or milk with fish it has some harmful effects..i am not sure whether it is true or not.
Q1203_C22	Cooked yoghurt is Ok. But Cooked yoghurt is Ok. But eating fish, with plain yoghurt is supposedly not good for your system. Something to do with the concept of not mixing "hot" and "cold" foods.
Q1203_C23	i heard abt drinking milk i heard abt drinking milk after eating fish is dangerous..can drink milk after 2 hours after eating fish not before that.  bt about prawns no danger at all
Q1203_C24	Ayurveda has guidelines about food... Ayurveda has guidelines about dietary habits...like:  # In the evening avoid heavy foods such as meat, fish, yoghurt, cheese, buttermilk and fromage frais.  # Avoid eating between meals. Instead drink hot water, or if necessary eat ripe sweet fruit.  # Avoid reheated or stale food.  # Most of one's food should be cooked, as the body can more easily absorb cooked food. Raw food should be eaten only as a side dish (e. g. salad).  # Make use of culinary spices. They not only make the food tasty, but support the digestive processes as well.  # Include all 6 tastes in each meal: sweet, sour, salty, pungent, bitter, and astringent. The tastes also have their own influence on the subtle inner balance of the physiology.  # During meals you may sip liquids such as water, juice or lassi. Do not drink a lot and avoid ice-cold drinks - they dampen down the digestive processes.  # Milk should not be drunk with the main meal. It can be taken alone or with a light meal of sweet tasting foods (e.g. toast, cereals etc). Minimise food of other tastes.  # Honey should not be heated above body temperature (40 degrees C) and therefore should not be used in cooking or baking.  There is also an exhaustive list on the combination of food which is good and bad.
Q1203_C25	I only know yoghurt and fish I only know yoghurt and fish should not be eaten together.
Q1203_C26	More... Carbohydrate rich food is not combined with acidic food items. eg if you take bread and lemon juice together, it will cause the digestive system to erratically digest both the items.   Don't eat grain, cereal or pulses item with acidic items like citrus fruits, grapes, pineapple etc.  Protein rich food items go well with low-carb food items like rice and vegetable. Vegetables also go well with all types of starchy, carbohydrate rich food items.  Fruits should ideally be taken as a separate meal, independent of other regular meals.  Milk and meat is bad combination.  Never take milk and meat in a single meal. Separate intake of milk and meat by at least four hours. Milk and meat is good for body in several ways. When taken together, it becomes toxic.   Many modern food styles fly on the face of this Ayurvedic food combination rule.  Milk is also to be taken warm. Cold milk can cause indigestion. Taking milk too hot also is not desirable.  Ending the meals with sweet dessert is not allowed in Ayurveda.   One needs to end a full-belly meal with some hot and light item like buttermilk. Buttermilk is curd diluted with water and added with a pinch of salt, chilly powder, some curry leaves and a bit of ginger. Many times ginger and curry leaves are avoided from the combination, only due to difficulty in availability.  Other factor to keep in mind with Ayurvedic food combination includes the endurance of the digestive system. A strong digestive fire (pitta) almost over-rides some of the effects associated with unscientific food combination. Not all are blessed with such a strong digestive fire.  And the most important food rule by Ayurveda Don't burden your digestive system by eating too full. Over-eating is already a strict no-no, Ayurveda suggests you take half-stomach solid food, fill a quarter with water and leave the rest free. This is best for proper digestion.
Q1203_C27	i am also waiting for the i am also waiting for the answer now!! gosh is it harmful??
Q1204	taxis at megamart are there taxis at mega mart? wanna visit the store but im quite hesitant.. not sure if the place is accessible.. do taxis (metered ones) go or wait for passengers there?
Q1204_C1	thanks whyteknight.  love thanks whyteknight.  love your photo.  I need to be more original ;)    time to go google image shopping . . .
Q1204_C2	The cat is in Thank you :o) The cat is in *Blushing Mode*
Q1204_C3	I dont think I shall ever I dont think I shall ever have the courage to drive in this country.  It's like boys on a racetrack.
Q1204_C4	Driving is the only Driving is the only entertainment for some people here
Q1204_C5	Riidng in taxi... is safe here is Qatar. Either in Karwa or in private taxi. Taxi driver(Karwa o private) will not start gossip with you unless you talk to them. You are 100% safe with the driver but not safe in the road.
Q1204_C6	No taxi there. You should ask No taxi there. You should ask one to come and pick you up or call one when you finish!
Q1205	Where can you play tennis in Doha? Would prefer indoors - The Sheraton has an indoor court but is only available to hotel guests.
Q1205_C1	RE: Where can you play tennis in Doha? why don't you try Intercontinental hotel? even you're not a hotel guest you can play at their tennis court.
Q1205_C2	RE: Where can you play tennis in Doha? Try KHALIFA TENNIS STADIUM. Here are contact details . Address: Near Post Office building, Dafna, Doha, Qatar Tel: 440 9666
Q1205_C3	RE: Where can you play tennis in Doha? Khalifa only has outdoor courts.  Try Dana Club, which is right beside Khalifa Stadium. 2x Indoor Courts.  Available to non members but you can only book on the same day as you want the booking, if you are non member. Ph. 496 0600
Q1205_C4	RE: Where can you play tennis in Doha? hi u should join qatar tennis foundation that near 2 coriche behind post office
Q1206	UAE On-Arrival Visa requirements Please let me know the Qatar Visa validity required to get UAE visa on arrival....
Q1206_C1	RE: UAE On-Arrival Visa requirements Try using the search box. this has been answered many times before.
Q1206_C2	RE: UAE On-Arrival Visa requirements call a travel agent... try Tel 44411414
Q1206_C3	RE: UAE On-Arrival Visa requirements should be 6 months.
Q1206_C4	RE: UAE On-Arrival Visa requirements Your passport should be valid for more than 6 months and RP of Qatar should be valid for more than 3 months..If you are not sure still, check with the UAE embassy..it would be better...
Q1206_C5	RE: UAE On-Arrival Visa requirements Both ur passport and RP must have 6 months validity... and 100 AED for the payment
Q1207	Bank Account opening I am working here with QR3500 salary.  Can i open an account with any bank without my Company's approval / NOC.  if yes then which bank suitable / easy to open a account without too much formalities.
Q1207_C1	RE: Bank Account opening moreover I have only Paycard from Commercial Bank Qatar (our salary disburse from CBQ)
Q1207_C2	RE: Bank Account opening HSBC or mashreq bank  its always beneficial to open an account which that bank in which ur company has an company account too.
Q1207_C3	RE: Bank Account opening thanx for reply but may i need NOC from my Company & can i apply for account opening if i have QR 3500 salary?
Q1207_C4	RE: Bank Account opening Yes Ofcourse you can.....  If you have any pbm in other bank check in Ahli Bank, No need letter from company also. Just need original Passport at the time of opening. 500 Min balance at the time of opening only. Later on you can maintain 0 balance also......  Hope this help u....
Q1207_C5	RE: Bank Account opening YES, you can  open at QNB city center, just bring your original passport. no need for NOC, infact I was able to open without an RP.. Visit and try to enquire, they assist you.
Q1208	OEC in Philippine immigration My wife and child will arrive this week from Manila with residence visit visa under my sponsorship. Other than authenticatd visa and affidavit of support, is OEC a requirement in phil immigration?
Q1208_C1	yes, sometimes the yes, sometimes the immigration officer ask for the sponsors oec, depending on his/her mood so better send it to the phils.
Q1208_C2	The immigration system can The immigration system can identify what particular visa the husband is using and history of your travel, OEC stands for Overseas Employment Certificate meaning for workers under working visa but not for family/visit/business visa.
